idx,GroupCount,Percent,actual_story
11,4,7.14285714285714,story_28/moral
15,4,7.14285714285714,story_28/moral
4,6,7.14285714285714,story_4/super
4,2,7.14285714285714,story_6/moral
15,2,7.14285714285714,story_6/moral
4,6,7.14285714285714,story_6/super
7,6,7.14285714285714,story_8/super
1,2,7.14285714285714,story_9/moral
3,2,7.14285714285714,story_9/moral
15,2,7.14285714285714,story_9/moral
1,5,6.94444444444444,story_3/probability
1,5,6.94444444444444,story_5/social
7,5,6.94444444444444,story_5/social
1,3,6.81818181818182,story_15/moral
3,3,6.81818181818182,story_15/moral
1,3,6.81818181818182,story_25/moral
2,3,6.81818181818182,story_25/moral
7,3,6.81818181818182,story_25/moral
3,6,6.81818181818182,story_3/super
3,1,6.66666666666667,story_12/old_approach_avoid
15,1,6.66666666666667,story_12/old_approach_avoid
7,1,6.66666666666667,story_15/social
1,4,6.66666666666667,story_6/approach_avoid
3,8,6.66666666666667,story_9/approach_avoid
1,8,6.61157024793388,story_7/approach_avoid
1,5,6.57894736842105,story_13/social
3,5,6.57894736842105,story_13/social
15,5,6.57894736842105,story_5/super
1,7,6.54205607476636,story_18/approach_avoid
15,6,6.52173913043478,story_2/super
4,6,6.52173913043478,story_7/super
3,4,6.45161290322581,story_19/social
4,3,6.38297872340426,story_15/approach_avoid
7,2,6.25,story_1/moral
3,2,6.25,story_10/social
1,9,6.25,story_12/approach_avoid
3,3,6.25,story_12/moral
1,1,6.25,story_18/probability
1,1,6.25,story_19/probability
15,1,6.25,story_19/probability
1,4,6.25,story_2/probability
7,4,6.25,story_2/probability
15,2,6.25,story_20/moral
1,1,6.25,story_23/moral
1,2,6.25,story_23/probability
2,1,6.25,story_27/moral
7,1,6.25,story_27/moral
4,2,6.25,story_4/approach_avoid
3,2,6.25,story_5/moral
1,2,6.25,story_6/social
11,2,6.25,story_6/social
1,4,6.25,story_7/social
3,4,6.25,story_8/approach_avoid
1,4,5.97014925373134,story_2/approach_avoid
7,4,5.97014925373134,story_2/approach_avoid
15,4,5.88235294117647,story_23/social
3,7,5.88235294117647,story_5/approach_avoid
1,7,5.83333333333333,story_9/approach_avoid
3,3,5.76923076923077,story_29/moral
3,8,5.71428571428571,story_1/approach_avoid
2,5,5.68181818181818,story_1/super
15,5,5.68181818181818,story_3/super
1,3,5.66037735849057,story_18/social
7,3,5.66037735849057,story_18/social
15,3,5.66037735849057,story_18/social
1,7,5.64516129032258,story_16/approach_avoid
3,2,5.55555555555556,story_11/social
3,2,5.55555555555556,story_12/social
7,2,5.55555555555556,story_14/probability
1,2,5.55555555555556,story_22/probability
7,2,5.55555555555556,story_22/probability
11,2,5.55555555555556,story_22/probability
3,2,5.55555555555556,story_22/social
7,2,5.55555555555556,story_22/social
11,2,5.55555555555556,story_22/social
1,2,5.55555555555556,story_4/probability
2,2,5.55555555555556,story_4/probability
1,2,5.55555555555556,story_7/moral
3,2,5.55555555555556,story_7/moral
4,5,5.43478260869565,story_2/super
2,5,5.43478260869565,story_7/super
3,3,5.35714285714286,story_21/approach_avoid
11,3,5.35714285714286,story_26/moral
1,3,5.35714285714286,story_28/moral
3,8,5.22875816993464,story_24/approach_avoid
7,5,5.20833333333333,story_3/approach_avoid
1,3,5.08474576271186,story_20/approach_avoid
1,6,5.04201680672269,story_19/approach_avoid
1,2,5,story_1/probability
11,2,5,story_1/probability
15,6,5,story_10/approach_avoid
14,3,5,story_21/probability
1,1,5,story_21/social
15,1,5,story_21/social
1,2,5,story_24/probability
11,3,5,story_6/approach_avoid
1,2,5,story_7/probability
7,2,5,story_7/probability
1,1,5,story_9/social
11,1,5,story_9/social
15,1,5,story_9/social
2,32,4.95356037151703,story_cost/old_approach_avoid
7,7,4.86111111111111,story_12/approach_avoid
3,6,4.83870967741935,story_16/approach_avoid
7,6,4.83870967741935,story_16/approach_avoid
7,3,4.83870967741935,story_19/social
1,3,4.83870967741935,story_23/approach_avoid
15,3,4.83870967741935,story_23/approach_avoid
3,4,4.76190476190476,story_4/super
3,3,4.6875,story_17/approach_avoid
15,3,4.6875,story_17/approach_avoid
7,3,4.6875,story_17/social
15,5,4.67289719626168,story_18/approach_avoid
7,7,4.57516339869281,story_24/approach_avoid
15,7,4.57516339869281,story_24/approach_avoid
3,4,4.54545454545455,story_1/super
15,3,4.41176470588235,story_14/moral
1,3,4.41176470588235,story_20/social
3,3,4.41176470588235,story_23/social
3,3,4.41176470588235,story_9/probability
7,3,4.41176470588235,story_9/probability
11,3,4.41176470588235,story_9/probability
1,2,4.25531914893617,story_15/approach_avoid
3,1,4.16666666666667,story_13/approach_avoid
7,1,4.16666666666667,story_13/approach_avoid
11,1,4.16666666666667,story_14/social
15,5,4.16666666666667,story_22/approach_avoid
15,3,4.16666666666667,story_3/probability
3,1,4.16666666666667,story_4/moral
11,1,4.16666666666667,story_4/moral
15,1,4.16666666666667,story_4/moral
4,1,4.16666666666667,story_4/social
8,1,4.16666666666667,story_4/social
15,1,4.16666666666667,story_4/social
11,3,4.16666666666667,story_5/social
15,3,4.16666666666667,story_5/social
15,5,4.03225806451613,story_16/approach_avoid
11,3,3.94736842105263,story_13/social
3,3,3.94736842105263,story_5/super
1,6,3.92156862745098,story_24/approach_avoid
7,4,3.73831775700935,story_18/approach_avoid
11,4,3.73831775700935,story_18/approach_avoid
1,1,3.57142857142857,story_2/moral
7,2,3.57142857142857,story_21/approach_avoid
11,2,3.57142857142857,story_21/approach_avoid
3,2,3.57142857142857,story_26/moral
7,2,3.57142857142857,story_28/moral
15,3,3.57142857142857,story_8/super
7,1,3.57142857142857,story_9/moral
11,1,3.57142857142857,story_9/moral
15,5,3.47222222222222,story_12/approach_avoid
7,3,3.40909090909091,story_3/super
3,2,3.38983050847458,story_20/approach_avoid
1,4,3.33333333333333,story_10/approach_avoid
3,2,3.33333333333333,story_21/probability
3,3,3.26086956521739,story_9/super
1,1,3.125,story_10/social
3,1,3.125,story_13/moral
7,1,3.125,story_13/moral
7,1,3.125,story_16/probability
11,1,3.125,story_16/probability
1,2,3.125,story_17/approach_avoid
7,2,3.125,story_17/approach_avoid
11,2,3.125,story_17/approach_avoid
1,2,3.125,story_17/social
11,2,3.125,story_17/social
15,2,3.125,story_2/probability
7,1,3.125,story_20/moral
12,1,3.125,story_23/probability
15,1,3.125,story_23/probability
1,1,3.125,story_4/approach_avoid
11,1,3.125,story_4/approach_avoid
15,1,3.125,story_4/approach_avoid
15,1,3.125,story_5/moral
3,1,3.125,story_6/social
15,1,3.125,story_6/social
11,2,3.125,story_7/social
1,2,2.94117647058824,story_14/moral
11,2,2.94117647058824,story_14/moral
3,2,2.94117647058824,story_2/social
15,2,2.94117647058824,story_2/social
11,2,2.94117647058824,story_20/probability
15,2,2.94117647058824,story_20/probability
1,2,2.94117647058824,story_23/social
11,2,2.94117647058824,story_23/social
3,19,2.94117647058824,story_cost/old_approach_avoid
7,4,2.85714285714286,story_1/approach_avoid
1,2,2.77777777777778,story_10/moral
3,2,2.77777777777778,story_10/moral
11,1,2.77777777777778,story_11/social
3,4,2.77777777777778,story_12/approach_avoid
5,1,2.77777777777778,story_12/social
7,1,2.77777777777778,story_12/social
11,1,2.77777777777778,story_12/social
15,1,2.77777777777778,story_12/social
3,1,2.77777777777778,story_14/probability
15,1,2.77777777777778,story_14/probability
14,1,2.77777777777778,story_17/probability
14,1,2.77777777777778,story_22/probability
15,1,2.77777777777778,story_22/probability
3,2,2.77777777777778,story_3/probability
7,2,2.77777777777778,story_3/probability
11,2,2.77777777777778,story_3/probability
1,2,2.77777777777778,story_3/social
11,2,2.77777777777778,story_3/social
7,1,2.77777777777778,story_4/probability
8,1,2.77777777777778,story_4/probability
5,1,2.77777777777778,story_5/probability
11,1,2.77777777777778,story_5/probability
11,1,2.77777777777778,story_7/moral
15,1,2.77777777777778,story_7/moral
1,1,2.77777777777778,story_8/probability
11,1,2.77777777777778,story_8/probability
15,1,2.77777777777778,story_8/probability
1,1,2.7027027027027,story_14/approach_avoid
7,3,2.52100840336134,story_19/approach_avoid
11,3,2.52100840336134,story_19/approach_avoid
15,1,2.5,story_1/probability
7,1,2.5,story_15/probability
3,2,2.5,story_24/social
15,2,2.5,story_24/social
3,1,2.5,story_3/moral
4,1,2.5,story_3/moral
8,1,2.5,story_3/moral
14,1,2.5,story_3/moral
7,3,2.5,story_9/approach_avoid
15,3,2.5,story_9/approach_avoid
4,1,2.4390243902439,story_8/social
11,1,2.4390243902439,story_8/social
3,1,2.38095238095238,story_24/moral
15,1,2.38095238095238,story_24/moral
1,2,2.38095238095238,story_4/super
3,2,2.38095238095238,story_6/super
11,2,2.27272727272727,story_1/super
11,1,2.27272727272727,story_15/moral
15,1,2.27272727272727,story_15/moral
10,1,2.27272727272727,story_25/moral
11,1,2.27272727272727,story_25/moral
15,1,2.27272727272727,story_25/moral
1,2,2.27272727272727,story_3/super
11,2,2.17391304347826,story_2/super
11,2,2.17391304347826,story_7/super
11,2,2.17391304347826,story_9/super
1,3,2.14285714285714,story_1/approach_avoid
15,1,2.12765957446809,story_15/approach_avoid
11,2,2.08333333333333,story_3/approach_avoid
7,1,1.92307692307692,story_29/moral
12,1,1.88679245283019,story_18/social
10,1,1.78571428571429,story_21/approach_avoid
